epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
185,18226.9,0.78067,0.6446,0.86216,0.64405,0.62796,0.6477,0.47835,1.00493,1.26458,0.94272,0.000892,0.000892,0.000892
186,18326.5,0.77439,0.62307,0.8595,0.64114,0.62976,0.64766,0.47752,1.00572,1.26692,0.94293,0.0008425,0.0008425,0.0008425
187,18425.9,0.77557,0.64411,0.8588,0.64117,0.62726,0.64766,0.47815,1.0048,1.26907,0.94265,0.000793,0.000793,0.000793
188,18525.2,0.78259,0.65098,0.86403,0.64181,0.6281,0.64726,0.47742,1.00526,1.27395,0.94268,0.0007435,0.0007435,0.0007435
189,18624.7,0.77851,0.6432,0.86103,0.63921,0.63205,0.64688,0.47635,1.00497,1.27634,0.94256,0.000694,0.000694,0.000694
190,18724.1,0.7651,0.63134,0.85749,0.64285,0.62839,0.64684,0.47698,1.00257,1.2777,0.94197,0.0006445,0.0006445,0.0006445
191,18826.8,0.79252,0.62194,0.87868,0.63331,0.64327,0.64647,0.47686,0.99859,1.28089,0.94101,0.000595,0.000595,0.000595
192,18926,0.75601,0.57537,0.86681,0.63288,0.64413,0.64647,0.47742,0.99348,1.28553,0.93979,0.0005455,0.0005455,0.0005455
193,19025.2,0.74093,0.55979,0.86834,0.63252,0.63497,0.64623,0.47797,0.98942,1.28726,0.93882,0.000496,0.000496,0.000496
194,19124.4,0.74254,0.54931,0.87219,0.61874,0.65078,0.6462,0.47843,0.98558,1.29024,0.93795,0.0004465,0.0004465,0.0004465
195,19223.5,0.73022,0.54623,0.8702,0.63279,0.63251,0.64621,0.47963,0.98135,1.29057,0.9371,0.000397,0.000397,0.000397
196,19322.4,0.72659,0.53115,0.86144,0.63465,0.63224,0.64615,0.48056,0.98007,1.29163,0.93668,0.0003475,0.0003475,0.0003475
197,19421.5,0.71138,0.53276,0.86131,0.65673,0.61148,0.64599,0.48094,0.97796,1.29548,0.93612,0.000298,0.000298,0.000298
198,19520.8,0.71857,0.52362,0.86415,0.65872,0.61124,0.64529,0.48087,0.97519,1.29761,0.93537,0.0002485,0.0002485,0.0002485
199,19619.9,0.70734,0.50048,0.85663,0.66486,0.60981,0.64417,0.48107,0.97431,1.30042,0.93516,0.000199,0.000199,0.000199
200,19718.8,0.7132,0.51629,0.86187,0.66512,0.60868,0.64406,0.48094,0.97354,1.305,0.93494,0.0001495,0.0001495,0.0001495
