epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,9068.89,0.96117,1.0725,0.90271,0.62847,0.62363,0.64393,0.45829,1.06973,1.16816,0.96248,0.0054955,0.0054955,0.0054955
93,9167.31,0.96532,1.08439,0.90537,0.62916,0.62355,0.64415,0.45817,1.06942,1.16929,0.96248,0.005446,0.005446,0.005446
94,9265.81,0.96909,1.10323,0.90311,0.63027,0.62355,0.6443,0.45823,1.0696,1.1704,0.96248,0.0053965,0.0053965,0.0053965
95,9364.12,0.96289,1.05982,0.90259,0.62931,0.62278,0.64424,0.45819,1.06917,1.1706,0.96226,0.005347,0.005347,0.005347
96,9462.13,0.95112,1.0684,0.90217,0.62928,0.62453,0.64431,0.45792,1.07538,1.17066,0.9637,0.0052975,0.0052975,0.0052975
97,9560.58,0.96857,1.06875,0.90865,0.62908,0.62817,0.64432,0.45784,1.07779,1.17164,0.9642,0.005248,0.005248,0.005248
98,9658.85,0.96335,1.06587,0.9055,0.62788,0.629,0.64496,0.45737,1.07989,1.17372,0.96498,0.0051985,0.0051985,0.0051985
99,9757.31,0.97607,1.06845,0.90862,0.62842,0.63218,0.64542,0.45757,1.08006,1.17406,0.96507,0.005149,0.005149,0.005149
100,9855.61,0.95438,1.04232,0.90408,0.62359,0.63218,0.64541,0.45815,1.07866,1.17553,0.96468,0.0050995,0.0050995,0.0050995
101,9954.03,0.94733,1.0479,0.90202,0.62653,0.63105,0.64588,0.45882,1.07832,1.17396,0.96468,0.00505,0.00505,0.00505
102,10052.4,0.94704,1.04214,0.90124,0.62723,0.63196,0.64581,0.45761,1.08018,1.1758,0.965,0.0050005,0.0050005,0.0050005
103,10150.9,0.94732,1.03869,0.89767,0.62774,0.62874,0.64597,0.45892,1.07857,1.17658,0.96455,0.004951,0.004951,0.004951
104,10249.1,0.94836,1.03477,0.90064,0.62936,0.62674,0.64564,0.45918,1.07631,1.17629,0.96393,0.0049015,0.0049015,0.0049015
105,10347.5,0.94321,1.02968,0.89802,0.62922,0.62674,0.64557,0.45921,1.07454,1.17712,0.96349,0.004852,0.004852,0.004852
106,10446,0.95157,1.03852,0.90169,0.63107,0.62561,0.64549,0.459,1.07711,1.17981,0.96416,0.0048025,0.0048025,0.0048025
107,10544.7,0.93989,1.01621,0.90045,0.62997,0.62576,0.64616,0.45993,1.0752,1.1806,0.96373,0.004753,0.004753,0.004753
108,10643.1,0.95636,1.02954,0.90362,0.62569,0.62674,0.64635,0.45962,1.07382,1.1829,0.96336,0.0047035,0.0047035,0.0047035
109,10741.4,0.95301,1.03789,0.90141,0.62346,0.62559,0.64667,0.46067,1.07055,1.18229,0.96225,0.004654,0.004654,0.004654
110,10839.9,0.9409,1.01896,0.89835,0.62955,0.62402,0.64673,0.46078,1.0684,1.18318,0.96161,0.0046045,0.0046045,0.0046045
111,10938.5,0.94343,1.01369,0.89658,0.6295,0.62231,0.64645,0.46137,1.06982,1.18519,0.96199,0.004555,0.004555,0.004555
112,11036.8,0.93601,0.99439,0.90079,0.62789,0.62213,0.64624,0.4615,1.06926,1.1854,0.96189,0.0045055,0.0045055,0.0045055
113,11135.2,0.92719,1.00015,0.89621,0.62829,0.62263,0.64626,0.46144,1.06935,1.18643,0.96191,0.004456,0.004456,0.004456
114,11233.5,0.93047,0.99628,0.89544,0.6295,0.62118,0.64588,0.46199,1.06664,1.18692,0.96125,0.0044065,0.0044065,0.0044065
