epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,902.355,0.96005,0.90888,0.62847,0.87996,0.68969,0.55943,0.59508,0.36256,0.69024,0.5609,0.5957,0.28235,1.24607,1.01772,1.02594,1.05243,0.00128225,0.00128225,0.00128225
31,932.033,0.96105,0.90173,0.63206,0.88063,0.69043,0.54819,0.6036,0.38051,0.71042,0.55195,0.61983,0.30717,1.23188,0.98068,0.97605,1.05541,0.0012575,0.0012575,0.0012575
32,961.3,0.95025,0.90251,0.61983,0.87789,0.67791,0.57638,0.61281,0.38321,0.70157,0.56096,0.61678,0.28944,1.20501,0.92758,0.99453,1.02629,0.00123275,0.00123275,0.00123275
33,991.004,0.94486,0.90217,0.61439,0.8768,0.69776,0.6031,0.62736,0.39433,0.7108,0.59757,0.63915,0.31204,1.17004,0.93077,0.94246,1.03241,0.001208,0.001208,0.001208
34,1020.95,0.95768,0.91538,0.62061,0.87806,0.70562,0.57462,0.62137,0.3914,0.71488,0.57914,0.63323,0.31075,1.17793,0.94366,0.96599,1.01724,0.00118325,0.00118325,0.00118325
35,1050.29,0.94313,0.9052,0.61194,0.87574,0.68473,0.58172,0.60931,0.38267,0.69051,0.5838,0.6185,0.29954,1.17351,0.94059,1.0035,1.02336,0.0011585,0.0011585,0.0011585
36,1080.02,0.93073,0.89103,0.60101,0.87109,0.69385,0.58673,0.61573,0.38813,0.70735,0.59222,0.63343,0.31147,1.17996,0.92404,0.97538,1.02767,0.00113375,0.00113375,0.00113375
37,1109.47,0.93018,0.89376,0.60193,0.87173,0.70163,0.59038,0.62245,0.3927,0.70287,0.58669,0.62715,0.30242,1.18398,0.945,0.95551,1.05498,0.001109,0.001109,0.001109
38,1138.95,0.92731,0.88663,0.60314,0.87265,0.68476,0.57037,0.60806,0.38472,0.6973,0.57896,0.62609,0.31116,1.15993,0.91677,0.99675,1.02337,0.00108425,0.00108425,0.00108425
39,1168.11,0.93236,0.8891,0.60357,0.87223,0.69683,0.58283,0.62072,0.3906,0.7203,0.57361,0.63274,0.30241,1.20992,0.9589,0.97881,1.0499,0.0010595,0.0010595,0.0010595
40,1197.61,0.91537,0.87987,0.59337,0.86908,0.70098,0.57527,0.61649,0.38677,0.703,0.57693,0.62458,0.30784,1.1976,0.95143,0.99233,1.03694,0.00103475,0.00103475,0.00103475
41,1227.4,0.91541,0.8856,0.591,0.87087,0.69147,0.58799,0.62769,0.39492,0.70703,0.57509,0.63034,0.30876,1.19588,0.94534,0.98876,1.05107,0.00101,0.00101,0.00101
42,1256.93,0.91842,0.88944,0.59685,0.87069,0.68912,0.5878,0.62346,0.39621,0.69529,0.58541,0.6256,0.30533,1.18216,0.96697,0.94167,1.04897,0.00098525,0.00098525,0.00098525
43,1286.61,0.90719,0.86656,0.58585,0.86659,0.6847,0.58522,0.6201,0.39573,0.69183,0.58025,0.62274,0.30368,1.17366,0.95945,0.92293,1.04205,0.0009605,0.0009605,0.0009605
44,1316.31,0.9102,0.88384,0.58882,0.86687,0.69508,0.59057,0.62612,0.40068,0.69401,0.58762,0.62749,0.3041,1.16467,0.97611,0.96529,1.01597,0.00093575,0.00093575,0.00093575
45,1345.66,0.89995,0.87857,0.58015,0.86663,0.7035,0.57711,0.62013,0.39599,0.71132,0.57859,0.6296,0.31399,1.17832,0.98532,0.97573,1.02973,0.000911,0.000911,0.000911
46,1375.67,0.89565,0.86647,0.57914,0.86528,0.69256,0.57896,0.619,0.39494,0.69719,0.58283,0.62846,0.30687,1.18622,0.99391,1.00297,1.0495,0.00088625,0.00088625,0.00088625
47,1405.3,0.8915,0.86713,0.56889,0.86289,0.69448,0.58614,0.62388,0.39848,0.71327,0.58627,0.63361,0.31353,1.15449,0.91849,0.95289,1.02612,0.0008615,0.0008615,0.0008615
48,1435.2,0.88996,0.87259,0.57552,0.86557,0.6909,0.57748,0.60911,0.38098,0.71127,0.57647,0.62354,0.3043,1.1917,0.98894,0.96921,1.04529,0.00083675,0.00083675,0.00083675
49,1464.61,0.88845,0.86599,0.57184,0.86221,0.69588,0.5808,0.62236,0.39426,0.73428,0.55807,0.62794,0.2986,1.14915,0.99864,0.95102,1.01968,0.000812,0.000812,0.000812
50,1494.59,0.8783,0.85931,0.5675,0.86288,0.69734,0.59315,0.62758,0.40146,0.70023,0.58946,0.63023,0.31239,1.1584,0.9725,0.95743,1.02791,0.00078725,0.00078725,0.00078725
51,1524.62,0.87818,0.86136,0.56662,0.86208,0.68616,0.59315,0.62392,0.39428,0.68637,0.59333,0.62521,0.29652,1.17271,0.9607,0.97082,1.01416,0.0007625,0.0007625,0.0007625
52,1554.29,0.87238,0.85684,0.56241,0.86138,0.68985,0.58731,0.62341,0.40059,0.71222,0.57417,0.63161,0.31107,1.1543,0.95028,0.95242,1.02959,0.00073775,0.00073775,0.00073775
53,1583.85,0.88905,0.86407,0.56578,0.86169,0.7119,0.58633,0.62977,0.40292,0.71195,0.58596,0.63223,0.30477,1.15614,0.96404,0.91718,1.026,0.000713,0.000713,0.000713
54,1613.63,0.86545,0.86079,0.56009,0.85995,0.70227,0.57914,0.62198,0.39627,0.71251,0.58006,0.62818,0.30976,1.16276,0.95056,0.98265,1.04026,0.00068825,0.00068825,0.00068825
55,1643.28,0.85823,0.84725,0.55016,0.85822,0.686,0.5948,0.62657,0.39805,0.71306,0.57933,0.62976,0.30418,1.17752,0.96631,0.96811,1.04404,0.0006635,0.0006635,0.0006635
56,1672.87,0.85223,0.84193,0.54531,0.85568,0.69622,0.60254,0.62969,0.4029,0.70017,0.60458,0.63762,0.30779,1.17409,0.97631,0.93882,1.04887,0.00063875,0.00063875,0.00063875
57,1702.6,0.84621,0.84266,0.53974,0.853,0.72898,0.57711,0.62591,0.39958,0.72968,0.57767,0.63264,0.30968,1.18075,0.97091,0.94102,1.05956,0.000614,0.000614,0.000614
